question_id,step,question_zh,question_en,rating
s1q1,Step 1：领域学习采样,你想选择哪个领域？例如帆船、攀岩、摄影、咖啡、急救、篮球战术、植物养护等。,"What domain do you want to choose? Examples: sailing, rock climbing, photography, coffee, first aid, basketball strategy, plant care.",
s1q2,Step 1：领域学习采样,你为什么了解或想了解这个领域？你接触它的真实场景是什么？,"Why do you know about this domain, or why do you want to learn it? What real situation connects you to it?",
s1q3,Step 1：领域学习采样,新手刚进入这个领域时，通常会以为什么最重要？,"When beginners first enter this domain, what do they usually think is most important?",
s1q4,Step 1：领域学习采样,你自己或你观察到的新手，第一次明显卡住或失败发生在什么时候？,"When did you, or a beginner you observed, first get stuck or clearly fail?",
s1q5,Step 1：领域学习采样,学了一段时间后，你开始看见哪些以前看不见的东西？,"After learning for a while, what did you begin to notice that you could not see before?",
s1q6,Step 1：领域学习采样,这个领域最吸引你的地方是什么：技巧、风险、判断、工具、环境、身体感，还是别的？,"What attracts you most about this domain: technique, risk, judgment, tools, environment, body feeling, or something else?",
s2q1,Step 2：新手 / 高手差异,新手最常见的误解是什么？,What is the most common misunderstanding beginners have?,
s2q2,Step 2：新手 / 高手差异,高手和新手看到同一个情境时，判断有什么不同？,"When experts and beginners look at the same situation, how are their judgments different?",
s2q3,Step 2：新手 / 高手差异,这个领域里最重要的挑战是什么？例如时间、体力、风向、光线、空间、设备、信息不足。,"What is the most important challenge in this domain? Examples: time, energy, wind direction, light, space, equipment, incomplete information.",
s2q4,Step 2：新手 / 高手差异,新手最容易做错的动作或决策是什么？,What action or decision do beginners most often get wrong?,
s2q5,Step 2：新手 / 高手差异,高手会根据哪些信号判断自己做得对不对？,What signals do experts use to judge whether they are doing well?,
s2q6,Step 2：新手 / 高手差异,你能否用一句话概括这个领域的核心学习转变？,Can you summarize the core learning shift in this domain in one sentence?,
s3q1,Step 3：技能循环,玩家需要观察什么？,What does the player need to observe?,
s3q2,Step 3：技能循环,玩家需要判断什么？,What does the player need to judge?,
s3q3,Step 3：技能循环,玩家可以做哪些行动？,What actions can the player take?,
s3q4,Step 3：技能循环,系统如何反馈玩家做得好不好？,How does the system give feedback on whether the player is doing well?,
s3q5,Step 3：技能循环,玩家如何根据反馈调整下一次行动？,How can the player adjust their next action based on feedback?,
s3q6,Step 3：技能循环,重复几次后，玩家会变得更会什么？,"After repeating the loop several times, what does the player become better at?",
s4q1,Step 4：领域反馈表,反馈信号 1：它是什么、来自哪里、告诉玩家什么、在游戏中如何表现？,"Feedback signal 1: What is the signal, where does it come from, what does it tell the player, and how does it appear in the game?",
s4q2,Step 4：领域反馈表,反馈信号 2：它是什么、来自哪里、告诉玩家什么、在游戏中如何表现？,"Feedback signal 2: What is the signal, where does it come from, what does it tell the player, and how does it appear in the game?",
s4q3,Step 4：领域反馈表,反馈信号 3：它是什么、来自哪里、告诉玩家什么、在游戏中如何表现？,"Feedback signal 3: What is the signal, where does it come from, what does it tell the player, and how does it appear in the game?",
s4q4,Step 4：领域反馈表,哪些反馈应该立刻出现？,Which feedback should appear immediately?,
s4q5,Step 4：领域反馈表,哪些反馈应该延迟出现，让玩家自己发现？,"Which feedback should appear later, so the player has to discover it?",
s4q6,Step 4：领域反馈表,哪些反馈不能只用分数表示，需要通过画面、声音、手感或状态变化表现？,"Which feedback should not be shown only as a score, but through visuals, sound, feel, or state changes?",
s5q1,Step 5：数据化抽象,这个领域里有哪些东西可以变成数字？例如速度、角度、体力、时间、距离、压力。,"What parts of this domain can become numbers? Examples: speed, angle, energy, time, distance, pressure.",
s5q2,Step 5：数据化抽象,有哪些东西可以变成状态？例如稳定/不稳定、看见/没看见、疲劳/清醒、安全/危险。,"What parts can become states? Examples: stable/unstable, visible/invisible, tired/alert, safe/dangerous.",
s5q3,Step 5：数据化抽象,玩家做什么动作会改变这些数字或状态？,What player actions change these numbers or states?,
s5q4,Step 5：数据化抽象,什么情况下玩家会成功？,Under what conditions does the player succeed?,
s5q5,Step 5：数据化抽象,什么情况下玩家会失败？,Under what conditions does the player fail?,
s5q6,Step 5：数据化抽象,有没有“刚刚好”的范围？例如帆角太大或太小都不好，攀岩用力过多或过少都不稳。,"Is there a just-right range? For example, a sail angle can be too large or too small; in climbing, using too much or too little force can both be unstable.",
s5q7,Step 5：数据化抽象,列出 3-5 个核心变量，格式：变量名 / 类型 / 如何变化 / 对体验的作用。,List your 3-5 core variables using this format: Variable Name / Type / How It Changes / Role in the Experience.,
s5q8,Step 5：数据化抽象,把你的数据分成三类，并重点标出“玩家可操作数据”：环境数据（系统提供，玩家不能直接控制）、玩家可操作数据（玩家的 action/input 能直接改变）、系统计算结果（系统根据前两类算出）。,"Sort your data into three groups and mark the Player-Controlled Data clearly: Environment Data (supplied by the system, not directly controlled), Player-Controlled Data (directly changed by the player's action/input), System-Calculated Results (computed from the first two).",
s6q1,Step 6：挑战空间设计,从 Step 5 的“玩家可操作数据”出发：列出每个可操作数据，找出环境中能影响它的因素。（例如：船速 speed ← 风、浪、洋流；这些就是挑战要素）,"Starting from Step 5's player-controlled data: list each one and find the environment factors that affect it. (Example: boat speed ← wind, waves, current; these become challenge elements)",
s6q2,Step 6：挑战空间设计,哪些因素改变后，玩家必须改变判断或策略？,"Which factors, when changed, force the player to change judgment or strategy?",
s6q3,Step 6：挑战空间设计,哪些因素玩家可以直接感知？哪些需要通过反馈慢慢推断？,Which factors can the player perceive directly? Which must be inferred gradually through feedback?,
s6q4,Step 6：挑战空间设计,为 2-3 个关键因素列出“简单状态”和“困难状态”：简单时是什么样、困难时是什么样、玩家需要分别学会什么判断。,"For 2-3 key factors, list an ""easy state"" and a ""hard state"": what each looks like, and what judgment the player must learn in each.",
s6q5,Step 6：挑战空间设计,设计 2-3 个由易到难的挑战：起个名字 + 用哪些因素组合 + 玩家在这个挑战里面对什么具体场景 + 这个挑战训练玩家什么能力。,Design 2-3 challenges from easy to hard: name + factor combination + concrete situation the player faces + skill it trains.,
s6q6,Step 6：挑战空间设计,这些挑战是否有从简单到复杂的顺序？,Do these challenges form a simple-to-complex sequence?,
s6q7,Step 6：挑战空间设计,玩家失败之后，是否能知道自己应该观察什么、调整什么？,"After failure, can the player know what to observe or adjust next?",
s7q1,Step 7：视觉与镜头,玩家以什么视角看游戏世界？（俯视 top-down / 横版侧视 side-scroll / 第一人称 / 第三人称跟随 / 等距 isometric）,What camera perspective does the player use? (top-down / side-scroll / first-person / third-person follow / isometric),
s7q2,Step 7：视觉与镜头,为什么这个视角最适合传达你的核心学习转变？,Why does this perspective best convey your core learning shift?,
s7q3,Step 7：视觉与镜头,画面是 2D、2.5D 还是 3D？,"Is the view 2D, 2.5D, or 3D?",
s7q4,Step 7：视觉与镜头,视觉风格是什么？（像素 / 手绘 / 极简几何 / 写实 / 其他）,What is the visual style? (pixel / hand-drawn / minimal geometry / realistic / other),
s7q5,Step 7：视觉与镜头,色彩基调是明亮还是昏暗？偏冷还是偏暖？为什么？,Is the color tone bright or dark? Cool or warm? Why?,
s7q6,Step 7：视觉与镜头,需要什么声音来强化体验？（音效类型 + 音乐情绪，如紧张 / 放松 / 节奏感 / 静默）,"What sounds strengthen the experience? (sound type + music mood, e.g. tense / relaxed / rhythmic / silence)",
s8q1,Step 8：人机协作边界,哪些设计决策是你保留的（AI 不得擅自改）？例如核心机制、学习转变、胜负条件、核心变量。,"Which design decisions do you keep (AI must not change them without asking)? e.g. core mechanic, learning shift, win/lose conditions, core variables.",
s8q2,Step 8：人机协作边界,哪些事情你允许 AI 自主做？例如技术实现、代码结构、视觉微调。,"What do you allow the AI to decide on its own? e.g. technical implementation, code structure, visual polish.",
s8q3,Step 8：人机协作边界,如果 AI 把你的设计改成了“普通小游戏”（只是题材换皮），你会怎么发现、怎么拉回来？,"If the AI turns your design into a generic mini-game (theme only), how will you notice and pull it back?",
